,gameid,league,blueteam,redteam,bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport,result
0,ESPORTSTMNT03/1241318,KeSPA,SANDBOX Gaming,T1,Rumble,Elise,Qiyana,MissFortune,Nautilus,Aatrox,Gragas,Mordekaiser,Xayah,Rakan,1
1,ESPORTSTMNT03/1241322,KeSPA,T1,SANDBOX Gaming,Jayce,JarvanIV,Orianna,MissFortune,Nautilus,Aatrox,Elise,Qiyana,Varus,TahmKench,0
2,ESPORTSTMNT03/1241324,KeSPA,T1,SANDBOX Gaming,Renekton,RekSai,Mordekaiser,Xayah,Rakan,Aatrox,Sejuani,Azir,MissFortune,Nautilus,1
3,ESPORTSTMNT03/1241328,KeSPA,T1,SANDBOX Gaming,Pantheon,Elise,Nautilus,Xayah,Rakan,Quinn,Olaf,Orianna,MissFortune,Leona,0
4,ESPORTSTMNT03/1241386,KeSPA,DRX,Afreeca Freecs,Mordekaiser,JarvanIV,Ryze,Xayah,Rakan,Renekton,Elise,Velkoz,Varus,Braum,0
5,ESPORTSTMNT03/1241394,KeSPA,Afreeca Freecs,DRX,Kennen,Olaf,Ornn,MissFortune,Braum,Vladimir,LeeSin,Rumble,Varus,Thresh,1
6,ESPORTSTMNT03/1241396,KeSPA,Afreeca Freecs,DRX,Camille,Qiyana,Orianna,MissFortune,Braum,Aatrox,LeeSin,Fizz,Varus,Thresh,1
7,ESPORTSTMNT03/1241467,KeSPA,SANDBOX Gaming,Afreeca Freecs,Rumble,Olaf,Syndra,Senna,TahmKench,Irelia,LeeSin,Ekko,Varus,Braum,0
8,ESPORTSTMNT03/1241468,KeSPA,Afreeca Freecs,SANDBOX Gaming,Kennen,Qiyana,Ornn,Xayah,Rakan,Aatrox,LeeSin,Vladimir,Varus,TahmKench,1
9,ESPORTSTMNT03/1241474,KeSPA,SANDBOX Gaming,Afreeca Freecs,Aatrox,Olaf,Orianna,Varus,TahmKench,Hecarim,Qiyana,Rumble,Sivir,Nautilus,0
10,5655-7249,LPL,Invictus Gaming,FunPlus Phoenix,Aatrox,Qiyana,Rumble,Senna,Braum,Ornn,JarvanIV,Ryze,MissFortune,Leona,1
11,5655-7250,LPL,Invictus Gaming,FunPlus Phoenix,Aatrox,Qiyana,Orianna,Varus,Braum,Fiora,JarvanIV,Mordekaiser,MissFortune,Thresh,0
12,5656-7252,LPL,LGD Gaming,LNG Esports,Renekton,Gragas,Irelia,Aphelios,Braum,Aatrox,JarvanIV,Leblanc,MissFortune,Leona,1
13,5655-7251,LPL,Invictus Gaming,FunPlus Phoenix,Ornn,Qiyana,Orianna,Varus,Braum,Mordekaiser,JarvanIV,Diana,MissFortune,Leona,1
14,5656-7253,LPL,LNG Esports,LGD Gaming,Aatrox,JarvanIV,Zoe,MissFortune,Leona,Renekton,LeeSin,Rumble,Varus,Braum,1
15,5656-7254,LPL,LGD Gaming,LNG Esports,Aatrox,RekSai,Leblanc,Aphelios,Leona,Mordekaiser,JarvanIV,Ryze,MissFortune,Braum,0
16,5657-7255,LPL,eStar,Rogue Warriors,Mordekaiser,Olaf,Taliyah,Aphelios,Leona,Gangplank,Gragas,Lucian,MissFortune,Nautilus,1
17,5657-7256,LPL,Rogue Warriors,eStar,Ornn,Taliyah,Pantheon,MissFortune,Thresh,Renekton,Qiyana,Ryze,Senna,TahmKench,0
18,5658-7257,LPL,Oh My God,JD Gaming,Aatrox,JarvanIV,Cassiopeia,Aphelios,Braum,Ornn,Kindred,Leblanc,Caitlyn,Nautilus,0
19,5658-7258,LPL,Oh My God,JD Gaming,Ornn,Elise,Irelia,Aphelios,Thresh,Mordekaiser,LeeSin,Leblanc,MissFortune,Leona,0
20,5659-7259,LPL,Vici Gaming,Bilibili Gaming,Ornn,Gragas,Jayce,MissFortune,Leona,Fiora,Elise,Qiyana,Senna,Braum,0
21,5659-7260,LPL,Bilibili Gaming,Vici Gaming,Camille,Qiyana,Orianna,Aphelios,Thresh,Mordekaiser,Elise,Jayce,Xayah,Rakan,0
22,5659-7261,LPL,Vici Gaming,Bilibili Gaming,Ornn,Elise,Irelia,Kaisa,Leona,Gangplank,Qiyana,Leblanc,MissFortune,Braum,0
23,5660-7262,LPL,Invictus Gaming,Dominus Esports,Kennen,Qiyana,Ekko,Varus,Braum,Irelia,JarvanIV,Rumble,MissFortune,Nautilus,1
24,5660-7263,LPL,Dominus Esports,Invictus Gaming,Akali,LeeSin,Leblanc,Varus,Leona,Kennen,RekSai,Rumble,MissFortune,Rakan,0
25,5661-7265,LPL,Victory Five,EDward Gaming,Kennen,Olaf,Ryze,Lucian,Braum,Renekton,Taliyah,Cassiopeia,MissFortune,Leona,0
